PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
306,City Hall Park,-122.329875,47.602022,,yes,,,,,,,,,,,,,,,,,,,,,,,,
404,Cleveland Playfield,-122.315542,47.552012,,,,,,yes,,,,,,,,,,,,yes,,,,yes,yes,,,
3985,Coe Play Park,-122.365952,47.640108,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
3922,College Street Park,-122.294616,47.582697,,,,,,yes,,,,,,,,,,,,,,,,,,,,
260,College Street Ravine,-122.395546,47.583406,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Colman Park,-122.288612,47.58547,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,
406,Colman Playground,-122.301957,47.587625,,yes,yes,yes,,,,,,,,,,,yes,yes,,yes,,,,,,,,
4034,Columbia Park,-122.287394,47.559792,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
308,Commodore Park,-122.40014,47.66538,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
4017,Corliss Place,-122.330874,47.665198,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Cormorant Cove,-122.412089,47.570984,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,
4462,Cottage Grove Park,-122.365311,47.554364,,,,,,,,,,,yes,,,,,,,,,,,,,,,
4438,Counterbalance Park: An Urban Oasis,-122.356323,47.625683,,,,,,yes,,,,,,,,,,,,,,,,,,,,
483,Cowen Park,-122.313072,47.672596,,,yes,,,yes,,,,,,,,,yes,yes,,,,,,,yes,,,
4018,Crescent Place,-122.333029,47.684317,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,Crown Hill Glen,-122.381394,47.693703,,,,,,,,,,,,,,,,,,,,,,,,,,
4469,Crown Hill Park,-122.373976,47.696071,,,,,,yes,,,,,,,,,yes,,yes,,,,,,,,,
4400,Daejeon Park,-122.312163,47.59192,,,,,,,,,,,,,,,,,,,,,,,,yes,,
499,Dahl Playfield,-122.299309,47.685267,,,yes,yes,,,,,,,,,,,yes,yes,yes,yes,,,,,,,,yes
575,Dakota Place Park,-122.387164,47.566844,,,,,,,,,,,,,,,,,,,,,,,,,,
331,David Rodgers Park,-122.359484,47.644135,,,,,,yes,,,,,,,,,yes,yes,,,,,yes,,,,,
4082,Day Street Boat Ramp,-122.285154,47.59026,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,
408,Dearborn Park,-122.296225,47.553389,,,,,,yes,,,,,yes,,,,yes,,,,,,,,yes,,,
450,Delridge Playfield,-122.364371,47.562842,yes,yes,yes,yes,,yes,,,,,yes,,,,yes,yes,yes,yes,,,yes,,,,,yes
3980,Denny Blaine Lake Park,-122.284838,47.61833,,,,,,,,,,,,,,,,,,,,,,,,,,
3982,Denny Blaine Park,-122.280548,47.62011,,,,,,,,,,,,,,,,,,,,,,,,yes,,
