pmaid,name,lng,lat,adult_fitness_equipment,art_in_the_park,baseball/softball_fields,basketball_courts,dog_off_leash_areas,drinking_fountains,fire_pits,fishing_piers,football_fields,gardens,grills,hand_carry_boat_launches,motorized_boat_launches,picnic_sites,play_area,restrooms,skate_park,soccer_fields,spray_parks,swimming_beaches,tennis_courts,track_fields,trails,views,volleyball_courts,wading_pools
239,Blue Ridge Place,-122.381171,47.703423,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
348,Boren Place,-122.320952,47.604999,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
349,Boylston Place,-122.32094,47.609976,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
401,Bradner Gardens Park,-122.295426,47.587419,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
402,Brighton Playfield,-122.2821,47.548387,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no
3997,Broadview Park,-122.355836,47.717936,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
482,Bryant Neighborhood Playground,-122.283644,47.675299,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
496,Burke-Gilman Playground Park,-122.282623,47.666634,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
3102,Cal Anderson Park and Bobby Morris Playfield,-122.319134,47.617013,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes
448,California Place,-122.386696,47.585641,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4154,Camp Long,-122.373161,47.556242,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
240,Carkeek Park,-122.379763,47.712194,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no
305,Carleton Center,-122.406385,47.639414,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4049,Carleton Highlands,-122.415934,47.650028,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3902,Cascade Place,-122.358092,47.666216,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
350,Cascade Playground,-122.332355,47.621405,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
4167,Cedar Park,-122.288042,47.725808,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
4448,Cesar Chavez Park,-122.32562,47.52678,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
80,Charles Richey Sr Viewpoint,-122.413877,47.57242,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4214,Cheasty Boulevard,-122.299204,47.572682,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
258,Cheasty GS: Cheasty Blvd,-122.299204,47.572682,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
421,Chinook Beach Park,-122.258376,47.520135,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
595,Christie Park,-122.319072,47.659308,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
306,City Hall Park,-122.329875,47.602022,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
